previousRank,country,goldMedals,silverMedals,bronzeMedals,totalMedals,gdpPerCapita,avgBMI
72,Argentina,0,1,2,3,8442,27.7
69,Armenia,0,2,2,4,4268,26.7
6,Australia,17,7,22,46,51812,27.2
53,Austria,1,1,5,7,48105,25.4
67,Azerbaijan,0,3,4,7,4214,27.4
42,Bahamas,2,0,0,2,28608,28.8
77,Bahrain,0,1,0,1,23443,28.2
45,Belarus,1,3,3,7,6411,26.6
29,Belgium,3,1,3,7,44594,25.5
63,Bermuda,1,0,0,1,117098,28.6
86,Botswana,0,0,1,1,6711,24.7
12,Brazil,7,6,8,21,6797,25.9
30,Bulgaria,3,1,2,6,9976,26
86,Burkina Faso,0,0,1,1,831,22.1
11,Canada,7,6,11,24,43242,27.2
34,Chinese Taipei,2,4,6,12,5333,25.9
66,Colombia,0,4,1,5,13828,25.5
26,Croatia,3,3,2,8,9100,26.2
14,Cuba,7,3,5,15,22762,26.9
18,Czech Republic,4,4,3,11,60909,25.3
25,Denmark,3,4,4,11,7268,26.7
68,Dominican Republic,0,3,2,5,5600,27
38,Ecuador,2,1,0,3,3548,29.2
54,Egypt,1,1,4,6,23312,25.5
59,Estonia,1,0,1,2,936,20.6
56,Ethiopia,1,1,2,4,4882,27.2
59,Fiji,1,0,1,2,49041,25.9
85,Finland,0,0,2,2,38625,25.3
8,France,10,12,11,33,4279,27.2
33,Georgia,2,5,1,8,45724,26.3
9,Germany,10,11,16,37,2329,24.2
86,Ghana,0,0,1,1,40285,27.3
4,Great Britain,22,21,22,65,17677,27.3
36,Greece,2,1,1,4,9680,27
86,Grenada,0,0,1,1,46324,23.9
49,"Hong Kong, China",1,2,3,6,15899,26.3
15,Hungary,6,7,7,20,1901,21.9
48,India,1,2,4,7,3870,22.9
55,Indonesia,1,1,3,5,83813,27.5
39,Ireland,2,0,2,4,2283,26.2
27,Islamic Republic of Iran,3,2,2,7,43611,26.3
39,Israel,2,0,2,4,31676,26
10,Italy,10,10,20,40,2326,23.6
86,Ivory Coast,0,0,1,1,4665,27.4
21,Jamaica,4,1,4,9,40113,22.6
3,Japan,27,14,17,58,4283,28.9
74,Jordan,0,1,1,2,9056,27.4
83,Kazakhstan,0,0,8,8,1838,23
19,Kenya,4,4,2,10,4287,23.5
42,Kosovo,2,0,0,2,32373,30
86,Kuwait,0,0,1,1,1174,26.2
70,Kyrgyzstan,0,2,1,3,17620,25.8
59,Latvia,1,0,1,2,19998,26.6
77,Lithuania,0,1,0,1,10402,25.3
74,Malaysia,0,1,1,2,8347,28.1
84,Mexico,0,0,4,4,4007,26
71,Mongolia,0,1,3,4,3009,25.6
63,Morocco,1,0,0,1,4211,24.3
77,Namibia,0,1,0,1,52304,25.4
7,Netherlands,10,12,14,36,41792,27.9
13,New Zealand,7,6,7,20,2097,23.4
74,Nigeria,0,1,1,2,5888,25.8
77,North Macedonia,0,1,0,1,67295,26
20,Norway,4,2,2,8,10500,23.9
2,People's Republic of China,38,32,18,88,3299,23.2
50,Philippines,1,2,1,4,15656,26.4
17,Poland,4,5,5,14,22440,26.2
56,Portugal,1,1,2,4,32291,27.4
63,Puerto Rico,1,0,0,1,50806,29.2
41,Qatar,2,0,1,3,31489,23.9
16,Republic of Korea,6,4,10,20,4551,26.7
86,Republic of Moldova,0,0,1,1,10127,26.5
5,ROC,20,28,23,71,12896,25.3
46,Romania,1,3,0,4,47731,25.6
72,San Marino,0,1,2,3,20110,28.5
77,Saudi Arabia,0,1,0,1,7666,25.8
28,Serbia,3,1,5,9,19157,26.5
50,Slovakia,1,2,1,4,25180,26.9
31,Slovenia,3,1,1,5,5091,27.3
52,South Africa,1,2,0,3,27057,26.7
22,Spain,3,8,6,17,51926,25.8
23,Sweden,3,6,0,9,86602,25.3
24,Switzerland,3,4,6,13,2033,28.1
86,Syrian Arab Republic,0,0,1,1,32747,24
59,Thailand,1,0,1,2,7189,24.1
58,Tunisia,1,1,0,2,3320,26.8
35,Turkey,2,2,9,13,8538,27.8
77,Turkmenistan,0,1,0,1,7612,26.4
36,Uganda,2,1,1,4,817,22
44,Ukraine,1,6,12,19,3727,26
1,United States of America,39,41,33,113,63544,28.5
32,Uzbekistan,3,0,2,5,1686,26.1
46,Venezuela,1,3,0,4,16056,27.2
